"Timestamp","What is your age ? ","What is your gender?","What level of education are you currently pursuing?","Do you prefer studying soft materials or hard materials?","Which subjects do you prefer studying with hard materials, and which ones with soft materials? [hard materials ]","Which subjects do you prefer studying with hard materials, and which ones with soft materials? [soft materials]","Which option is the easiest for getting your material? ","What soft materials or digital tools do you prefer?","What specific hard materials do you prefer?","What are your preferred methods for customizing study materials?","Do you find it expensive to use hard materials? ","How important is it to reach your study materials from different devices? (e.g., computer, phone) ? ","When using study materials, do you often find yourself getting distracted by other things, such as 
 social media or anything else
 Note : 0 for Not At All 4 for Extremely distracted,
? [soft materials]","When using study materials, do you often find yourself getting distracted by other things, such as 
 social media or anything else
 Note : 0 for Not At All 4 for Extremely distracted,
? [hard materials]","Which study materials help you to keep your materials for long time ","How often do you experience problems with your soft study materials (like device issues or software problems)?","How often do you face problems with your physical study materials, like book damage or notebook wear and tear?","Do study materials play a role on time saving, and if yes, which types are most effective?","How would you rate the storage or space-related challenges specific to soft study materials ?","Do you find any differences in how well you remember and understand information when using hard or soft study materials? If yes, please explain.","Which type of study materials offers more flexibility in terms of study location and timing: soft or hard?

Note: 0 for No Flexibility , 4 for Extremely Flexibility [soft materials]","Which type of study materials offers more flexibility in terms of study location and timing: soft or hard?

Note: 0 for No Flexibility , 4 for Extremely Flexibility [hard materials]","How would you rate the storage or space-related challenges specific to hard study materials, considering factors such as the amount of space they occupy at home ?","Do you typically prefer to study in an indoor or outdoor environment? ","What study materials are more suitable to study in your preferred environment (indoor/outdoor)?","Why do you find this format to be more suitable for your preferred study environment?","How much flexibility do you have in customizing your study materials to match your specific learning preferences and requirements
Note: 0 for No Flexibility , 4 for Extremely Flexibility? [Soft Materials]","How much flexibility do you have in customizing your study materials to match your specific learning preferences and requirements
Note: 0 for No Flexibility , 4 for Extremely Flexibility? [Hard Materials]","Any additional information about soft vs hard study materials ?"
"2024/03/19 4:39:03 pm EET","22","Female","Fourth Year","Both","Science;Mathematics;design;programming;theoretical subjects;practical subjects","Science;Linguistics;Literature;programming","both","Laptop","Paper notebooks","Draw a simple mind map on paper","No","3","4","1","Both","2","1","Hard Materials","3","Yes, using hard materials help me to remember well and I find that more effective than soft ones ","3","2","2","Indoor","Hard materials","I like staying using books more than looking at my laptop for a long time ","2","2","No that’s enough thank you "
"2024/03/19 5:37:43 pm EET","20","Female","Third Year","Soft materials","Science;Mathematics;programming;theoretical subjects","Linguistics;Literature;design;practical subjects","soft materials","Laptop","Sticky notes","Create a timeline using digital tools","Yes","2","0","4","Hard materials","2","2","Hard Materials","2","No","4","2","2","Indoor","Soft materials","İt's useful for me ","3","2","No"
"2024/03/19 6:02:12 pm EET","21","Female","Third Year","Soft materials","Mathematics;Linguistics;Literature","Science;design;programming;theoretical subjects;practical subjects","hard materials","Laptop","Paper notebooks","Create a timeline using digital tools","No","3","3","2","Hard materials","2","2","Soft Materials","2","Yes I remember informations more if the material are hard","2","2","1","Indoor","Soft materials","Because I am looking for more comfort and a familiar place","3","2","The two types are important, but each has its advantages. “Soft” is more practical, but “hard” makes the information more stable and not easily forgotten."
"2024/03/19 6:03:12 pm EET","20","Male","Third Year","Soft materials","Mathematics","Science;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Create a timeline using digital tools","Yes","2","4","2","Hard materials","0","3","Soft Materials","1","Yes, hard is more rememberable.","4","2","2","Outdoor","Hard materials","More rememberable.","3","4","No"
"2024/03/19 6:04:05 pm EET","20","Female","Third Year","Both","Science;Mathematics;Linguistics;programming;practical subjects","Literature;design;programming;theoretical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper","Yes","3","2","0","Hard materials","2","0","Soft Materials","2","Yes using hard materials it stays longer .","2","4","0","Indoor","Hard materials","Because it is more available indoors","2","2","No"
"2024/03/19 6:04:27 pm EET","23","Male","Third Year","Soft materials","Science","Mathematics;Linguistics;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Create a timeline using digital tools;Use online quiz-making platforms","Yes","4","4","1","Soft materials","2","2","Soft Materials","3","yeah I remember more in soft study material. because It makes the information easier to find and better to learn for me.","4","1","3","Indoor","Soft materials","I prefer the quite and comfortable place to study.","3","1","No "
"2024/03/19 6:07:28 pm EET","21","Male","Third Year","Hard materials","Science;Mathematics;Linguistics;Literature","design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks","Write down important information on small cards;Create a timeline using digital tools","Yes","3","4","1","Soft materials","1","1","Hard Materials","0","Yes, hard material is easier to memorize ","4","2","4","Outdoor","Soft materials","Easier to bring with me outside","0","0",""
"2024/03/19 6:47:08 pm EET","21","Male","Third Year","Both","Mathematics;practical subjects","Science;programming;theoretical subjects","soft materials","Laptop","Paper notebooks","Write down important information on small cards","No","2","2","0","Both","1","0","Soft Materials","0","Yes , when you write in hard materials it is help to remember the material","3","1","0","Indoor","Soft materials","Because i love indoor ","2","2","Nop"
"2024/03/19 6:50:49 pm EET","21","Male","Third Year","Both","Science;Mathematics;Linguistics;design;programming;theoretical subjects;practical subjects","Linguistics;Literature;theoretical subjects;practical subjects","soft materials","PC","Paper notebooks","Write down important information on small cards","Yes","2","4","1","Hard materials","1","0","Both","0","no","3","2","0","Indoor","Soft materials","it's both  soft and hard actually ","2","4",""
"2024/03/19 6:52:55 pm EET","22","Female","Third Year","Soft materials","Science","Science","soft materials","Laptop","Sticky notes","Create a timeline using digital tools","Yes","4","1","3","Soft materials","1","1","Soft Materials","1",".","3","1","2","Outdoor","Soft materials","being focused ","1","2",". "
"2024/03/19 6:55:37 pm EET","22","Male","Third Year","Hard materials","Science;Mathematics;Literature;theoretical subjects;practical subjects","Linguistics;design;programming","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","Yes","1","4","1","Hard materials","1","1","Hard Materials","2","No ","3","1","2","Indoor","Hard materials","Help me to be concerned ","3","0",""
"2024/03/19 7:16:40 pm EET","19","Male","Second Year","Soft materials","Linguistics","Linguistics","hard materials","PC","Paper notebooks;","Draw a simple mind map on paper;Write down important information on small cards;Create a timeline using digital tools;Use online quiz-making platforms","Yes","0","3","3","Soft materials","1","1","Soft Materials","1","No","3","3","2","Indoor","Soft materials","Okay","3","3","No"
"2024/03/19 7:22:38 pm EET","20","Male","Second Year","Both","Science;Mathematics;Linguistics","Science;Mathematics;Linguistics","both","Laptop","Paper notebooks","Use online quiz-making platforms","Yes","2","4","1","Both","2","2","Both","2","555","4","1","2","Indoor","Soft materials","55","4","2","55"
"2024/03/19 7:23:12 pm EET","20","Female","Third Year","Both","Science;Mathematics;Literature;theoretical subjects","Linguistics;design;programming;practical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Write down important information on small cards;Create a timeline using digital tools;Use online quiz-making platforms","No","2","2","4","Soft materials","2","1","Soft Materials","1","No","2","4","2","Indoor","Hard materials","It's more flexible ","4","2","No"
"2024/03/19 7:25:53 pm EET","22","Female","Fourth Year","Both","Science;Mathematics","Linguistics","soft materials","Laptop","Paper notebooks","Write down important information on small cards","Yes","0","4","3","Both","1","0","Soft Materials","2","Yes, information got from hard materials stick well in my mind.","4","2","2","Indoor","Hard materials","Cause hard materials do not cause as much physical harm as soft ones do","3","4",""
"2024/03/19 7:25:57 pm EET","18","Female","First Year","Hard materials","practical subjects","Science","soft materials","Laptop","Sticky notes","Draw a simple mind map on paper","No","2","4","1","Hard materials","2","0","Hard Materials","2","yes hard matrials could be memorizable","4","2","3","Indoor","Hard materials","it makes me more focused","2","3","no"
"2024/03/19 7:29:14 pm EET","20","Female","Third Year","Hard materials","Science","practical subjects","soft materials","Laptop","Sticky notes","Write down important information on small cards","No","0","2","0","Soft materials","0","1","Soft Materials","0","I can remember more information with hard matireals","1","1","3","Indoor","Soft materials","It is easier and more comfortable ","3","2",""
"2024/03/19 7:30:21 pm EET","20","Female","Third Year","Hard materials","Mathematics;Literature;practical subjects","design;programming;theoretical subjects","soft materials","Laptop","Paper notebooks","Write down important information on small cards","No","2","4","1","Hard materials","1","0","Hard Materials","3","Hard study materials facilitate understanding and remembering much more , cuz when we write we memorize better","4","2","1","Indoor","Hard materials","Less distraction from social media","2","2",""
"2024/03/19 8:06:30 pm EET","21","Female","Third Year","Both","Science","Mathematics","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper","Yes","4","3","1","Both","2","3","Hard Materials","2","No","3","2","2","Indoor","Hard materials","Easy on the eye and tactile","2","2","No"
"2024/03/19 8:09:15 pm EET","21","Female","Third Year","Both","Science;Mathematics;Literature;design;theoretical subjects","Linguistics;programming;practical subjects","both","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","No","1","1","3","Soft materials","2","2","Soft Materials","1","Yes because writing is perfect to remember informations ","3","2","2","Indoor","Hard materials","To remember ","2","1",""
"2024/03/19 8:12:17 pm EET","20","Female","Second Year","Both","Mathematics","Mathematics","both","Tablet","Paper notebooks","Create a timeline using digital tools","Yes","1","1","2","Both","2","3","Soft Materials","1","No","2","1","1","Indoor","Soft materials","I don't know","1","2","No"
"2024/03/19 8:16:11 pm EET","22","Female","Fourth Year","Hard materials","Science;Mathematics;Linguistics;Literature;theoretical subjects;practical subjects","design;programming","soft materials","Laptop","Paper notebooks;Sticky notes","Write down important information on small cards","Yes","3","3","2","Both","2","2","Hard Materials","2","Yes I remember more from hard","3","1","2","Indoor","Soft materials","…","3","1","No"
"2024/03/19 8:25:58 pm EET","21","Female","First Year","Hard materials","design","design","soft materials","Tablet","Paper notebooks","Draw a simple mind map on paper;Use online quiz-making platforms","No","3","4","3","Soft materials","1","0","Hard Materials","4"," No","4","4","1","Outdoor","Hard materials","Soft  materials","4","4","No"
"2024/03/19 8:26:44 pm EET","20","Female","Second Year","Both","Science;Mathematics","Linguistics","both","Tablet","Paper notebooks","Write down important information on small cards;Create a timeline using digital tools","Yes","3","2","1","Soft materials","0","2","Soft Materials","1","No","2","1","2","Indoor","Soft materials","I don't know","3","1","No"
"2024/03/19 8:33:14 pm EET","20","Male","Third Year","Hard materials","Science","Science","both","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper","Yes","2","2","2","Both","3","1","Both","4","No","4","2","0","Indoor","Soft materials",".","1","3","No"
"2024/03/19 8:48:33 pm EET","21","Female","Third Year","Both","Science;Mathematics;programming;theoretical subjects;practical subjects","Linguistics;Literature;design;programming;theoretical subjects;practical subjects","soft materials","Tablet","Paper notebooks","Write down important information on small cards;Create a timeline using digital tools","Yes","3","4","2","Both","2","2","Hard Materials","2","No","2","2","4","Indoor","Hard materials",".","2","2",""
"2024/03/19 9:21:39 pm EET","21","Male","Third Year","Both","Science;Mathematics;theoretical subjects;practical subjects","Science;design;programming;theoretical subjects","both","Laptop","Paper notebooks;books","Create a timeline using digital tools;using small notebooks","Yes","4","3","0","Both","1","2","Soft Materials","3","yes, memory after studying from hard materials last longer ","3","2","2","Indoor","Hard materials","because i like it more","3","2",""
"2024/03/19 9:39:31 pm EET","20","Female","Third Year","Both","Linguistics","Science","both","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards;Create a timeline using digital tools","Yes","4","1","1","Both","2","2","Both","2","Yes","2","2","2","Outdoor","Hard materials","My fav environment to Study makes me feel more focused ","2","2",""
"2024/03/19 9:49:27 pm EET","23","Male","Third Year","Hard materials","Science;Mathematics;theoretical subjects;practical subjects","Science;design;programming","hard materials","Tablet","Paper notebooks","Create a timeline using digital tools","Yes","2","4","1","Hard materials","2","1","Hard Materials","2","Yes,
When i use hard material i find it easy to mark the page and check it later and i memorize the look of the page itself,
But with the digital materials most of the time it's deleted and I find it difficult to recalled the materials","4","1","2","Indoor","Hard materials","Cuz I can handle it in indoor","1","3","If we fixes the problem of soft materia which is
1)the distraction of social media (we can fix it by a device like kindl)
2)the strong
3)the flexibility
It would be better than hard material "
"2024/03/19 10:21:04 pm EET","20","Female","Third Year","Both","Science;Mathematics;theoretical subjects","Linguistics;Literature;design;programming;practical subjects","soft materials","Tablet","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","Yes","4","4","0","Both","3","2","Both","3","Yes 
When I use soft study materials always I  scattered by social media and I wast more time than hard study materials but, sometimes I prefer to use soft in study which have a lot of pictures or practical things ","4","2","4","Indoor","Hard materials","Because some of my subjects I study require hard materials ","3","3",""
"2024/03/19 10:28:38 pm EET","20","Female","Third Year","Both","Science;Mathematics","design;programming","both","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Write down important information on small cards;Use online quiz-making platforms","Yes","3","4","0","Both","2","2","Both","2","yes , as i only have pencil & paper for studying so i didnt distuirbed but the hard one i have alot in front of me .","4","4","1","Indoor","Soft materials","as i will have so comfortable mind. ","4","2",""
"2024/03/19 10:46:10 pm EET","21","Female","Third Year","Hard materials","Mathematics;Linguistics;theoretical subjects","design;programming","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","Yes","4","3","1","Both","2","1","Hard Materials","1","Yes, studying using hard material is more effective for remembering and understanding information.","4","3","1","Indoor","Hard materials","I found both are suitable, but hard materials are a little bit suitable because I feel more comfortable in home to use it. ","3","3","Sometimes it depends on time, soft material does not need much time like hard material."
"2024/03/19 11:43:05 pm EET","21","Female","Third Year","Soft materials","Mathematics;practical subjects","Science;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","Yes","4","3","2","Soft materials","1","0","Soft Materials","4","No","3","1","0","Indoor","Soft materials",".
","3","2",""
"2024/03/20 1:04:26 am EET","22.","Female","Third Year","Soft materials","Science","Mathematics","soft materials","Laptop","","Create a timeline using digital tools","Yes","4","1","2","Both","0","1","Hard Materials","4","No","2","2","0","Outdoor","Hard materials","T","0","3","Softt"
"2024/03/20 1:53:27 am EET","21","Female","Third Year","Hard materials","Science;Mathematics;Linguistics;Literature;theoretical subjects","design;programming;practical subjects","soft materials","Tablet","Books","Write down important information on small cards","No","1","4","3","Hard materials","1","1","Soft Materials","2","Yes, i find hardaterials easier to remember","3","2","2","Indoor","Hard materials","It's easy to have hard materials at home","3","4",""
"2024/03/20 3:08:12 am EET","21","Female","Fourth Year","Both","Mathematics","Science;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks","Write down important information on small cards;Use online quiz-making platforms","Yes","4","4","2","Both","2","1","Soft Materials","4","No","4","3","1","Indoor","Soft materials",". ","3","3",""
"2024/03/20 4:40:43 am EET","22","Female","Fresh Graduate","Soft materials","Mathematics;practical subjects","Science;Linguistics;programming;theoretical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper","Yes","3","3","2","Both","1","1","Soft Materials","3","No","3","2","4","Indoor","Soft materials","Both are suitable but soft materials are my first option when studying","3","1",""
"2024/03/20 6:11:25 am EET","20","Male","Second Year","Soft materials","Mathematics;design","Science;Mathematics;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","","Create a timeline using digital tools;Use online quiz-making platforms","Yes","4","1","1","Soft materials","1","2","Soft Materials","0","Yes, there's a small difference ... When i use the soft materials i feel like remembering more in less time ","4","2","3","Indoor","Soft materials","Easy to access from all my devices and I am always connected to search and learn about anything which i have difficulty in understanding it . ","4","2",""
"2024/03/20 11:49:10 am EET","19","Female","Second Year","Soft materials","Literature;practical subjects","Science;Mathematics;Literature;design;programming;theoretical subjects","soft materials","Tablet","Paper notebooks","Write down important information on small cards;Use online quiz-making platforms","No","4","0","0","Both","1","2","Soft Materials","1","N/A","4","4","2","Indoor","Soft materials","Accessible ","4","4","N/A"
"2024/03/20 10:16:00 pm EET","21","Male","Third Year","Hard materials","Science;Mathematics;Linguistics","Linguistics;Literature;design;programming;theoretical subjects;practical subjects","hard materials","Laptop","Paper notebooks","Draw a simple mind map on paper","No","3","3","1","Both","1","1","Hard Materials","0","Using hard material helping me more. handwriting is most effective way for me ","4","2","0","Indoor","Hard materials","because it need more space ","3","3","No"
"2024/03/20 11:20:28 pm EET","20","Female","Second Year","Soft materials","Mathematics;Linguistics;Literature","programming;theoretical subjects","soft materials","Tablet","","Create a timeline using digital tools","Yes","4","3","0","Soft materials","1","2","Soft Materials","3","the same","3","2","4","Indoor","Soft materials","doesn't require more than one object to start studying","3","2",""
"2024/03/20 11:25:02 pm EET","19","Female","Second Year","Soft materials","Science;Mathematics;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","Science;Mathematics;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks","Write down important information on small cards;Create a timeline using digital tools","Yes","4","4","1","Hard materials","0","1","Hard Materials","0","Only in mathematical and programming languages,  because these languages need practice and just studying them using my eyes won't work ","4","2","3","Outdoor","Soft materials","It's easily portable","4","3",""
"2024/03/21 12:04:12 am EET","20","Female","Second Year","Both","Science;Mathematics;programming;theoretical subjects","Linguistics;Literature;design;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","Yes","4","1","2","Hard materials","0","3","Hard Materials","3","I remeber well when studying using hard matetials becuase I made bigger effort","4","1","3","Indoor","Hard materials","it is quiet ","2","2",""
"2024/03/21 12:26:25 am EET","20","Male","Second Year","Soft materials","Linguistics;Literature;theoretical subjects","Science;Mathematics;programming;practical subjects","soft materials","PC","Paper notebooks","Draw a simple mind map on paper","Yes","4","2","4","Soft materials","0","1","Soft Materials","0","No","4","2","4","Indoor","Soft materials","I have alot of devices and no books","2","4",""
"2024/03/21 12:33:34 am EET","20","Female","Second Year","Soft materials","Science;Literature;theoretical subjects;practical subjects","Mathematics;Linguistics;design;programming","soft materials","Laptop","Paper notebooks","Write down important information on small cards","Yes","2","3","1","Both","2","3","Hard Materials","1","No","4","2","0","Indoor","Soft materials","More easier and faster ","3","1","No"
"2024/03/21 12:49:28 am EET","20","Male","Second Year","Soft materials","Mathematics;Literature;practical subjects","Science;Linguistics;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Write down important information on small cards","No","3","3","3","Soft materials","0","1","Soft Materials","0","No","2","2","2","Indoor","Soft materials","It's just way more accessible and easier to download a pdf on my phone/laptop wherever and study from it, especially if you're low on time ","3","2",""
"2024/03/21 1:01:50 am EET","20","Female","Second Year","Soft materials","Science;Mathematics","Linguistics;Literature;programming","soft materials","Tablet","Paper notebooks","Draw a simple mind map on paper;Create a timeline using digital tools","Yes","3","4","3","Hard materials","1","1","Soft Materials","2","Not really.","2","4","1","Indoor","Soft materials","I'm just used to it.","3","1",""
"2024/03/21 1:09:44 am EET","20","Male","Second Year","Soft materials","design;programming;theoretical subjects;practical subjects","Science;Mathematics;Linguistics;Literature","soft materials","Tablet","Paper notebooks","Use online quiz-making platforms","Yes","3","1","3","Both","1","1","Hard Materials","2","Soft may be help me because it's select what I should study ","1","3","1","Indoor","Soft materials","Because help me relax ","1","3","No"
"2024/03/21 1:09:53 am EET","21","Male","Second Year","Both","Literature","Science;Mathematics;Linguistics;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks","Create a timeline using digital tools","No","3","4","2","Both","0","1","Soft Materials","0","I remember better when using hard materials ","4","1","2","Indoor","Soft materials",".","3","2",""
"2024/03/21 1:13:54 am EET","20","Female","Second Year","Both","Science;Mathematics;Linguistics;Literature;design","programming;theoretical subjects;practical subjects","both","Laptop","Paper notebooks","Draw a simple mind map on paper","No","2","2","2","Both","4","3","Both","2","Yes","2","2","2","Indoor","Soft materials","Well focus","3","3","No"
"2024/03/21 1:16:43 am EET","21","Female","Second Year","Both","Mathematics;Linguistics;Literature;theoretical subjects","Science;design;programming;practical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper","Yes","2","3","0","Hard materials","1","1","Hard Materials","0","When using highlighters and underinging with pens and pencils is more effective ","0","3","4","Indoor","Soft materials","As it doesn't occupy so much space at home you don't have to carry so much books and notebooks everytime you're going to study ","4","1",""
"2024/03/21 1:40:06 am EET","19","Female","Second Year","Hard materials","Science;Mathematics;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","Science","hard materials","Laptop","Paper notebooks;Sticky notes","Summarize information in my notebook ","No","2","2","1","Both","1","1","Hard Materials","0","Not really","2","1","2","Indoor","Hard materials","I finish things quicker ","2","2",""
"2024/03/21 2:00:47 am EET","21","Male","Second Year","Both","Science;Mathematics;Linguistics;Literature","design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","Yes","3","4","1","Hard materials","1","2","Hard Materials","0","No ","4","2","1","Indoor","Hard materials","Saving time and feel like I want to study 😅","2","4",""
"2024/03/21 3:11:53 am EET","20","Female","Second Year","Soft materials","Mathematics","Science;Linguistics","soft materials","Laptop","Paper notebooks","Write down important information on small cards","Yes","3","2","3","Hard materials","2","1","Soft Materials","2","I think hard materials are better because you write down and highlight what’s important and what’s not","3","2","0","Indoor","Hard materials","I like to study indoor because I don’t want to get distracted and hard materials help me in that because most of the time I will concentrate in writing and highlighting","2","3","No"
